TOEM$$%%1307580$$%%9,997$$%%978.9 k$$%%122.1 k$$%%179.0 k
Overboard!$$%%1546920$$%%3,370$$%%55.9 k$$%%32.5 k$$%%13.8 k
Sable$$%%757310$$%%46,202$$%%443.7 k$$%%143.7 k$$%%148.9 k
Chicory: A Colourful Tale$$%%1123450$$%%10,547$$%%128.8 k$$%%71.3 k$$%%86.8 k
ANNO: Mutationem$$%%1368030$$%%56,846$$%%246.0 k$$%%125.4 k$$%%156.8 k
PlateUp!$$%%1599600$$%%35,315$$%%1.52 M$$%%1.37 M$$%%578.9 k
Nightmare Reaper$$%%1051690$$%%12,825$$%%219.5 k$$%%96.2 k$$%%100.8 k
Citizen Sleeper$$%%1578650$$%%35,554$$%%1.01 M$$%%199.5 k$$%%168.8 k
Temtem$$%%745920$$%%146,011$$%%2.33 M$$%%866.5 k$$%%1.15 M
Wobbledogs$$%%1424330$$%%12,560$$%%222.0 k$$%%302.4 k$$%%297.6 k
Gordian Quest$$%%981430$$%%33,208$$%%289.4 k$$%%155.9 k$$%%165.8 k
Thymesia$$%%1343240$$%%52,277$$%%202.3 k$$%%192.6 k$$%%209.7 k
Neon White$$%%1533420$$%%31,755$$%%518.6 k$$%%400.4 k$$%%453.4 k
Symphony of War: The Nephilim Saga$$%%1488200$$%%42,697$$%%896.1 k$$%%480.1 k$$%%335.3 k
Nobody Saves the World$$%%1432050$$%%39,032$$%%939.9 k$$%%311.5 k$$%%164.5 k
Stacklands$$%%1948280$$%%37,847$$%%657.3 k$$%%1.46 M$$%%704.6 k
SIGNALIS$$%%1262350$$%%56,148$$%%464.2 k$$%%373.6 k$$%%548.5 k
Infernax$$%%374190$$%%10,178$$%%58.1 k$$%%53.7 k$$%%52.1 k
Vampire Survivors$$%%1794680$$%%113,211$$%%4.73 M$$%%7.96 M$$%%6.94 M
Coromon$$%%1218210$$%%32,604$$%%932.2 k$$%%246.4 k$$%%154.5 k
Dorfromantik$$%%1455840$$%%69,775$$%%1.15 M$$%%1.11 M$$%%777.2 k
Dome Keeper$$%%1637320$$%%62,185$$%%535.2 k$$%%823.7 k$$%%332.6 k
Prodeus$$%%964800$$%%32,181$$%%1.05 M$$%%117.9 k$$%%201.2 k
Hero's Hour$$%%1656780$$%%50,012$$%%1.04 M$$%%405.7 k$$%%141.8 k
TUNIC$$%%553420$$%%72,149$$%%351.6 k$$%%339.7 k$$%%351.3 k
Cult of the Lamb$$%%1313140$$%%191,167$$%%1.75 M$$%%2.77 M$$%%2.32 M
Chained Echoes$$%%1229240$$%%40,806$$%%176.5 k$$%%221.7 k$$%%175.8 k
Rogue Legacy 2$$%%1253920$$%%56,778$$%%871.6 k$$%%851.3 k$$%%415.3 k
HAAK$$%%1352930$$%%8,070$$%%39.2 k$$%%53.9 k$$%%74.6 k
Taiji$$%%1141580$$%%3,037$$%%172.3 k$$%%39.3 k$$%%30.8 k
The Knight Witch$$%%1872680$$%%8,822$$%%181.5 k$$%%27.0 k$$%%16.6 k
The Case of the Golden Idol$$%%1677770$$%%10,855$$%%167.2 k$$%%235.7 k$$%%193.5 k
